Date,Open,High,Low,Close,Adj Close,Volume
2014-11-04,20.598333,20.718332,20.250000,20.573334,20.171230,9180600
2014-11-05,21.000000,21.023333,20.671667,20.946667,20.537268,8100000
2014-11-06,20.961666,21.228333,20.721666,21.209999,20.795452,8640600
2014-11-07,21.193333,21.333332,21.033333,21.266666,20.851017,6667800
2014-11-10,21.276667,21.471666,21.186666,21.445000,21.025860,5305200
2014-11-11,21.481667,21.555000,21.360001,21.508333,21.087957,3341400
2014-11-12,21.256666,21.525000,21.240000,21.446667,21.027496,5449800
2014-11-13,21.503332,21.716667,21.208332,21.510000,21.089590,7483200
2014-11-14,21.480000,21.601667,21.368334,21.533333,21.112465,4677000
2014-11-17,21.395000,21.631666,21.343332,21.575001,21.153318,5616000
2014-11-18,21.584999,22.053333,21.584999,21.943333,21.514454,5890800
2014-11-19,21.855000,21.940001,21.543333,21.831667,21.404972,7791600
2014-11-20,21.523333,21.986668,21.503332,21.945000,21.516085,5529000
2014-11-21,22.610001,22.633333,22.080000,22.315001,21.878857,10309200
